1,6,3,2,1,4
2,6,21,3,1,4
3,3,2,1,4,7
4,6,21,3,1,7
5,21,3,2,1,4
6,6,21,2,1,4
7,6,21,22,1,7
8,6,3,2,1,7
9,21,3,1,4,7
10,6,21,2,1,7
11,21,22,1,4,7
12,3,22,2,1,4
13,3,22,2,4,7
14,21,3,22,1,4
15,3,2,1,4,23
16,6,21,3,2,1
17,6,21,22,2,7
18,6,2,1,5,7
19,3,2,5,4,7
20,12,21,22,1,7
21,6,1,5,7,11
22,6,21,22,23,7
23,3,1,5,4,7
24,6,21,3,22,1
25,21,22,2,1,4
26,21,22,2,4,7
27,6,3,1,5,7
28,6,21,22,2,1
29,6,21,3,2,7
30,12,22,1,13,11
31,12,3,22,1,23
32,6,2,4,23,11
33,3,2,1,4,13
34,3,22,1,4,7
35,6,3,22,1,23
36,1,5,8,7,11
37,6,2,5,7,11
38,6,21,22,1,23
39,21,3,1,4,23
40,12,21,3,2,1
41,3,2,1,5,4
42,3,2,1,4,11
43,12,22,1,7,11
44,6,1,5,8,11
45,6,3,2,5,7
46,6,21,22,7,13
47,6,21,22,2,4
48,6,21,3,22,7
49,6,21,3,22,2
50,6,3,2,1,11
